tournament_id,year,team,wc_ppg,wc_matches,cont_ppg,cont_n,comp_ppg,pre_elo
WC-1998,1998,Austria,0.6666666666666666,3,,0,2.5,1704.1302445401598
WC-1998,1998,Tunisia,0.3333333333333333,3,1.75,4,2.2857142857142856,1700.233803026982
WC-1998,1998,Croatia,2.142857142857143,7,1.5,4,1.5555555555555556,1820.390523292202
WC-1998,1998,Netherlands,1.7142857142857142,7,1.25,4,2.0,1923.5920223085438
WC-1998,1998,Bulgaria,0.3333333333333333,3,1.3333333333333333,3,2.1,1787.425246135575
WC-1998,1998,Norway,1.25,4,,0,2.4285714285714284,1895.2291671288967
WC-1998,1998,Japan,0.0,3,2.25,4,1.96875,1758.0331645033373
WC-1998,1998,Brazil,1.8571428571428572,7,1.6,5,2.3157894736842106,2087.7647609212336
WC-1998,1998,South Africa,0.6666666666666666,3,1.8333333333333333,6,1.75,1689.2437285925162
WC-1998,1998,Denmark,1.4,5,1.3333333333333333,3,2.0,1833.0753180648192
WC-1998,1998,South Korea,0.3333333333333333,3,1.0,4,2.2142857142857144,1808.201984553931
WC-1998,1998,Argentina,2.0,5,1.25,4,1.7777777777777777,1852.9073809261877
WC-1998,1998,Romania,1.75,4,0.0,3,2.1538461538461537,1842.9519480120455
WC-1998,1998,Nigeria,1.5,4,,0,1.7777777777777777,1739.9198239290927
WC-1998,1998,Iran,1.0,3,1.8333333333333333,6,1.935483870967742,1725.180072877608
WC-1998,1998,Spain,1.3333333333333333,3,1.5,4,2.3846153846153846,1972.7675463197445
WC-1998,1998,Chile,0.75,4,0.0,3,1.3157894736842106,1774.5690838767744
WC-1998,1998,France,2.4285714285714284,7,1.8,5,1.5,1959.5923048256225
WC-1998,1998,Morocco,1.3333333333333333,3,1.75,4,2.2222222222222223,1789.274324004984
WC-1998,1998,Germany,2.0,5,2.3333333333333335,6,2.2,2014.6514737094114
WC-1998,1998,Jamaica,1.0,3,1.4,5,1.9,1714.6043382681926
WC-1998,1998,Saudi Arabia,0.3333333333333333,3,1.8333333333333333,6,1.8571428571428572,1716.592206455961
WC-1998,1998,Paraguay,1.5,4,1.0,4,1.55,1704.3434348779451
