team,R32,R16,QF,SF,Final,Champion
France,0.9778,0.5319,0.3768,0.2401,0.154,0.154
Spain,0.9878,0.4982,0.3656,0.237,0.149,0.149
Argentina,0.9784,0.4777,0.328,0.2052,0.1192,0.1192
England,0.9766,0.4588,0.2834,0.1608,0.0896,0.0896
Portugal,0.9672,0.4223,0.2454,0.1394,0.0738,0.0738
Brazil,0.9652,0.393,0.225,0.123,0.0625,0.0625
Germany,0.9732,0.3384,0.2037,0.1058,0.0536,0.0536
Netherlands,0.9381,0.327,0.1643,0.0805,0.039,0.039
Belgium,0.9534,0.3474,0.1559,0.0741,0.0312,0.0312
Colombia,0.9058,0.2566,0.122,0.0567,0.0226,0.0226
Croatia,0.9116,0.236,0.1188,0.0506,0.0205,0.0205
United States,0.8507,0.2442,0.1103,0.0483,0.0195,0.0195
Turkey,0.8916,0.2658,0.1093,0.0463,0.019,0.019
Morocco,0.9062,0.2442,0.1094,0.0436,0.0171,0.0171
Canada,0.926,0.2622,0.1066,0.0437,0.0162,0.0162
Mexico,0.9964,0.2629,0.1117,0.044,0.0157,0.0157
Switzerland,0.9296,0.2529,0.1,0.0407,0.0148,0.0148
Uruguay,0.8964,0.1896,0.0879,0.0379,0.0143,0.0143
Norway,0.8258,0.1959,0.0866,0.0336,0.0122,0.0122
Japan,0.8348,0.1693,0.0674,0.0264,0.0092,0.0092
Senegal,0.791,0.1753,0.0724,0.0276,0.0092,0.0092
Austria,0.7771,0.1188,0.0462,0.0174,0.0054,0.0054
Ivory Coast,0.7968,0.1258,0.0453,0.0148,0.0044,0.0044
Algeria,0.7302,0.1034,0.0386,0.013,0.0044,0.0044
Ecuador,0.8332,0.1169,0.0407,0.0131,0.004,0.004
Egypt,0.7488,0.1109,0.0349,0.0119,0.003,0.003
South Korea,0.9888,0.1505,0.042,0.0108,0.0026,0.0026
Scotland,0.7048,0.0946,0.0306,0.0086,0.0026,0.0026
Sweden,0.6152,0.0786,0.0275,0.0084,0.0024,0.0024
Paraguay,0.6252,0.085,0.027,0.0078,0.0022,0.0022
Czechia,0.5448,0.0819,0.0222,0.0068,0.0019,0.0019
Congo DR,0.4818,0.045,0.0144,0.0042,0.001,0.001
Iran,0.6656,0.0668,0.0176,0.0044,0.0009,0.0009
Australia,0.4163,0.0376,0.0096,0.0031,0.0009,0.0009
Tunisia,0.304,0.021,0.0058,0.0012,0.0003,0.0003
Saudi Arabia,0.3247,0.0218,0.0053,0.001,0.0002,0.0002
Cape Verde,0.3068,0.0181,0.0041,0.001,0.0002,0.0002
Ghana,0.3398,0.0256,0.0064,0.0013,0.0002,0.0002
Bosnia and Herzegovina,0.4259,0.0397,0.0075,0.0016,0.0002,0.0002
Panama,0.384,0.0232,0.0058,0.001,0.0002,0.0002
Qatar,0.2429,0.0131,0.0024,0.0003,0.0001,0.0001
Uzbekistan,0.3247,0.0192,0.0048,0.001,0.0001,0.0001
Iraq,0.151,0.0085,0.0017,0.0003,0.0001,0.0001
Jordan,0.2238,0.013,0.0026,0.0006,0.0001,0.0001
Haiti,0.1298,0.0046,0.0008,0.0004,0.0,0.0
Curaçao,0.0986,0.0027,0.0006,0.0001,0.0,0.0
New Zealand,0.3202,0.0182,0.0038,0.0004,0.0,0.0
South Africa,0.1113,0.0061,0.0011,0.0002,0.0,0.0
