team,R16,QF,SF,Final,Champion
Brazil,0.8413,0.5355,0.3254,0.2002,0.1222
Argentina,0.8476,0.5278,0.3322,0.1842,0.1038
France,0.8367,0.4961,0.3053,0.1688,0.092
Spain,0.8118,0.4956,0.2778,0.162,0.0892
England,0.8284,0.5095,0.2756,0.1467,0.0768
Netherlands,0.8274,0.5056,0.2704,0.1343,0.0717
Portugal,0.7957,0.4482,0.2433,0.1362,0.0704
Belgium,0.7592,0.4031,0.2152,0.1193,0.0614
Germany,0.729,0.4128,0.2206,0.1191,0.0606
Uruguay,0.676,0.3336,0.1645,0.082,0.0392
Denmark,0.6682,0.3196,0.1627,0.0724,0.0316
Croatia,0.58,0.259,0.1182,0.056,0.0252
Mexico,0.5794,0.2659,0.1282,0.0546,0.022
Switzerland,0.5087,0.2322,0.1026,0.0486,0.0204
Serbia,0.4597,0.205,0.0885,0.0378,0.0158
United States,0.4956,0.2238,0.09,0.0316,0.0122
Senegal,0.4576,0.2079,0.0824,0.032,0.0122
Poland,0.424,0.1807,0.0798,0.0324,0.012
Morocco,0.3852,0.158,0.0666,0.029,0.0111
Ecuador,0.4736,0.1994,0.0776,0.0284,0.0094
Japan,0.293,0.1184,0.0443,0.0163,0.0057
South Korea,0.3034,0.106,0.0366,0.0136,0.0053
Wales,0.3157,0.1278,0.0448,0.0158,0.005
Iran,0.3602,0.1393,0.0485,0.0148,0.0046
Canada,0.2756,0.0958,0.0338,0.012,0.0043
Australia,0.259,0.0889,0.032,0.0104,0.0036
Tunisia,0.2362,0.0761,0.028,0.0086,0.0026
Qatar,0.2414,0.0867,0.0288,0.0086,0.0026
Cameroon,0.1904,0.0659,0.022,0.0071,0.0023
Ghana,0.2249,0.0735,0.0236,0.0078,0.0022
Costa Rica,0.1662,0.0572,0.017,0.0054,0.0016
Saudi Arabia,0.1489,0.0448,0.0136,0.004,0.0012
