team,R32,R16,QF,SF,Final,Champion
Spain,0.9882,0.5072,0.37,0.2356,0.149,0.149
France,0.9799,0.5214,0.3636,0.2286,0.1401,0.1401
Argentina,0.9827,0.4714,0.3209,0.1964,0.114,0.114
England,0.9788,0.496,0.3051,0.1808,0.1031,0.1031
Brazil,0.9778,0.4594,0.284,0.1674,0.0932,0.0932
Portugal,0.9724,0.4164,0.2419,0.1322,0.0682,0.0682
Germany,0.9726,0.3391,0.2026,0.1048,0.0532,0.0532
Netherlands,0.9408,0.3078,0.151,0.0751,0.0347,0.0347
Belgium,0.9618,0.3642,0.1624,0.0762,0.0327,0.0327
United States,0.8493,0.2572,0.1169,0.0524,0.0212,0.0212
Colombia,0.9216,0.2486,0.12,0.0507,0.0204,0.0204
Morocco,0.9072,0.2603,0.1137,0.0485,0.0198,0.0198
Canada,0.932,0.2779,0.1146,0.0458,0.0172,0.0172
Croatia,0.905,0.2178,0.1054,0.0444,0.017,0.017
Turkey,0.8654,0.2372,0.0974,0.0388,0.0153,0.0153
Uruguay,0.9209,0.2118,0.1028,0.0431,0.0144,0.0144
Switzerland,0.9264,0.2578,0.0986,0.037,0.0132,0.0132
Mexico,0.931,0.2244,0.0871,0.035,0.0124,0.0124
Norway,0.8328,0.1808,0.0736,0.0283,0.0102,0.0102
Senegal,0.8026,0.162,0.0666,0.0246,0.0078,0.0078
Japan,0.8338,0.1487,0.0601,0.0219,0.0073,0.0073
Ecuador,0.8536,0.1254,0.0446,0.0144,0.0048,0.0048
Ivory Coast,0.7982,0.1266,0.0461,0.016,0.0048,0.0048
Algeria,0.7846,0.1137,0.042,0.0138,0.0044,0.0044
Austria,0.7856,0.1085,0.0408,0.0135,0.0038,0.0038
Sweden,0.6514,0.0832,0.0297,0.0105,0.0028,0.0028
Czechia,0.7682,0.1134,0.0316,0.0093,0.0026,0.0026
South Korea,0.7988,0.1168,0.033,0.0094,0.0024,0.0024
Scotland,0.6976,0.0931,0.029,0.0088,0.0021,0.0021
Paraguay,0.6422,0.0939,0.0298,0.0086,0.0018,0.0018
Egypt,0.7438,0.1013,0.0296,0.009,0.0018,0.0018
Iran,0.6522,0.058,0.0152,0.0037,0.0009,0.0009
Bosnia and Herzegovina,0.4898,0.0486,0.0105,0.0024,0.0009,0.0009
Australia,0.4364,0.0418,0.0122,0.0028,0.0007,0.0007
Ghana,0.3684,0.029,0.0078,0.0019,0.0006,0.0006
Congo DR,0.5194,0.0473,0.0132,0.0028,0.0006,0.0006
Cape Verde,0.2796,0.0162,0.0032,0.0008,0.0002,0.0002
New Zealand,0.3158,0.0173,0.0036,0.0011,0.0001,0.0001
Tunisia,0.2689,0.015,0.0032,0.0006,0.0001,0.0001
Panama,0.346,0.0184,0.0038,0.0004,0.0001,0.0001
Haiti,0.1112,0.0039,0.0004,0.0001,0.0,0.0
Jordan,0.1594,0.0062,0.001,0.0001,0.0,0.0
Qatar,0.1956,0.01,0.0022,0.0002,0.0,0.0
Curaçao,0.0807,0.0017,0.0004,0.0001,0.0,0.0
Iraq,0.1372,0.0066,0.0012,0.0005,0.0,0.0
Uzbekistan,0.2418,0.0104,0.002,0.0004,0.0,0.0
South Africa,0.1833,0.0087,0.0012,0.0003,0.0,0.0
Saudi Arabia,0.3074,0.0176,0.0042,0.0007,0.0,0.0
